algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
spreading_maxsave,0.0871678999974392,1,100.0,0.1,17
heuristic_maxsave,0.0326152000343427,1,100.0,0.1,17
spreading_maxsave,0.0824773000204004,2,100.0,0.1,24
heuristic_maxsave,0.0324931000359356,2,100.0,0.1,25
spreading_maxsave,0.260543999960646,3,100.0,0.1,31
heuristic_maxsave,0.0392658999771811,3,100.0,0.1,31
spreading_maxsave,0.1369477999978698,5,100.0,0.1,42
heuristic_maxsave,0.1110940999933518,5,100.0,0.1,40
spreading_maxsave,0.1628885000245645,7,100.0,0.1,44
heuristic_maxsave,0.0541671000537462,7,100.0,0.1,46
spreading_maxsave,0.2001562000368721,10,100.0,0.1,47
heuristic_maxsave,0.0439562000101432,10,100.0,0.1,48
spreading_maxsave,0.0564981999923475,1,100.0,0.1,5
heuristic_maxsave,0.0294644000241532,1,100.0,0.1,5
spreading_maxsave,0.0798642999725416,2,100.0,0.1,5
heuristic_maxsave,0.0335905000101774,2,100.0,0.1,5
spreading_maxsave,0.098236599995289,3,100.0,0.1,5
heuristic_maxsave,0.0867586000240407,3,100.0,0.1,5
spreading_maxsave,0.1370233999914489,5,100.0,0.1,5
heuristic_maxsave,0.0499644999508746,5,100.0,0.1,5
spreading_maxsave,0.1549528000177815,7,100.0,0.1,5
heuristic_maxsave,0.0442304000025615,7,100.0,0.1,5
spreading_maxsave,0.1916928999708034,10,100.0,0.1,5
heuristic_maxsave,0.0413843999849632,10,100.0,0.1,5
spreading_maxsave,0.0643041000002995,1,100.0,0.1,9
heuristic_maxsave,0.0254370000329799,1,100.0,0.1,6
spreading_maxsave,0.1398453000001609,2,100.0,0.1,12
heuristic_maxsave,0.0326421999488957,2,100.0,0.1,9
spreading_maxsave,0.1005105000222101,3,100.0,0.1,12
heuristic_maxsave,0.0389373999787494,3,100.0,0.1,12
spreading_maxsave,0.1355808000080287,5,100.0,0.1,13
heuristic_maxsave,0.0530560999759472,5,100.0,0.1,16
spreading_maxsave,0.2431689999648369,7,100.0,0.1,15
heuristic_maxsave,0.064148599980399,7,100.0,0.1,17
spreading_maxsave,0.2313140000333078,10,100.0,0.1,17
heuristic_maxsave,0.0631910000229254,10,100.0,0.1,17
spreading_maxsave,0.0598829999798908,1,100.0,0.1,6
heuristic_maxsave,0.0257739999797195,1,100.0,0.1,6
spreading_maxsave,0.0754482999909669,2,100.0,0.1,9
heuristic_maxsave,0.034269800002221,2,100.0,0.1,9
spreading_maxsave,0.0929622999974526,3,100.0,0.1,9
heuristic_maxsave,0.1232490999973379,3,100.0,0.1,9
spreading_maxsave,0.1467754999757744,5,100.0,0.1,9
heuristic_maxsave,0.0495435000048019,5,100.0,0.1,9
spreading_maxsave,0.1772472999873571,7,100.0,0.1,9
heuristic_maxsave,0.0558750000200234,7,100.0,0.1,9
spreading_maxsave,0.2268023999640718,10,100.0,0.1,9
heuristic_maxsave,0.0559674000251106,10,100.0,0.1,9
spreading_maxsave,0.0624477999517694,1,100.0,0.1,15
heuristic_maxsave,0.0255588000291027,1,100.0,0.1,15
spreading_maxsave,0.1430039000115357,2,100.0,0.1,22
heuristic_maxsave,0.0418598999967798,2,100.0,0.1,20
spreading_maxsave,0.1418998000444844,3,100.0,0.1,28
heuristic_maxsave,0.0702529000118374,3,100.0,0.1,25
spreading_maxsave,0.1975085999583825,5,100.0,0.1,33
heuristic_maxsave,0.0481990000116638,5,100.0,0.1,32
spreading_maxsave,0.239706499967724,7,100.0,0.1,35
heuristic_maxsave,0.071809499990195,7,100.0,0.1,38
spreading_maxsave,0.3098434999701567,10,100.0,0.1,38
heuristic_maxsave,0.0411629999871365,10,100.0,0.1,39
spreading_maxsave,0.0670214999699965,1,100.0,0.1,8
heuristic_maxsave,0.0247258999734185,1,100.0,0.1,7
spreading_maxsave,0.0748811999801546,2,100.0,0.1,12
heuristic_maxsave,0.0354103000136092,2,100.0,0.1,9
spreading_maxsave,0.1097750999615527,3,100.0,0.1,12
heuristic_maxsave,0.0348783999797888,3,100.0,0.1,13
spreading_maxsave,0.14335279999068,5,100.0,0.1,13
heuristic_maxsave,0.0484541000332683,5,100.0,0.1,13
spreading_maxsave,0.2263516000239178,7,100.0,0.1,13
heuristic_maxsave,0.0464422999648377,7,100.0,0.1,13
spreading_maxsave,0.1958923999918624,10,100.0,0.1,13
heuristic_maxsave,0.0472616999759338,10,100.0,0.1,13
spreading_maxsave,0.0579044999903999,1,100.0,0.1,18
heuristic_maxsave,0.0233305000001564,1,100.0,0.1,16
spreading_maxsave,0.0936477999784983,2,100.0,0.1,26
heuristic_maxsave,0.0360745000070892,2,100.0,0.1,24
spreading_maxsave,0.1140745000448077,3,100.0,0.1,33
heuristic_maxsave,0.0380808000336401,3,100.0,0.1,30
spreading_maxsave,0.2105161999934353,5,100.0,0.1,42
heuristic_maxsave,0.1154998999554663,5,100.0,0.1,40
spreading_maxsave,0.2302723999600857,7,100.0,0.1,45
heuristic_maxsave,0.051699900010135,7,100.0,0.1,46
spreading_maxsave,0.3037123000249266,10,100.0,0.1,47
heuristic_maxsave,0.0679948999895714,10,100.0,0.1,50
spreading_maxsave,0.0643683999660424,1,100.0,0.1,4
heuristic_maxsave,0.0273929000250063,1,100.0,0.1,4
spreading_maxsave,0.0790696000331081,2,100.0,0.1,6
heuristic_maxsave,0.0321416999795474,2,100.0,0.1,6
spreading_maxsave,0.1043478000210598,3,100.0,0.1,6
heuristic_maxsave,0.1028783999499864,3,100.0,0.1,6
spreading_maxsave,0.185642700002063,5,100.0,0.1,6
heuristic_maxsave,0.0467560000251978,5,100.0,0.1,6
spreading_maxsave,0.1958016999997198,7,100.0,0.1,6
heuristic_maxsave,0.0579560999758541,7,100.0,0.1,6
spreading_maxsave,0.2484250999987125,10,100.0,0.1,6
heuristic_maxsave,0.0536347000161185,10,100.0,0.1,6
spreading_maxsave,0.0823748999973759,1,100.0,0.1,11
heuristic_maxsave,0.0384565999847836,1,100.0,0.1,10
spreading_maxsave,0.0974326000432483,2,100.0,0.1,17
heuristic_maxsave,0.0391667999792844,2,100.0,0.1,15
spreading_maxsave,0.1427152000251226,3,100.0,0.1,22
heuristic_maxsave,0.0455337999737821,3,100.0,0.1,19
spreading_maxsave,0.1616103000123985,5,100.0,0.1,28
heuristic_maxsave,0.1175424000248313,5,100.0,0.1,28
spreading_maxsave,0.158801699988544,7,100.0,0.1,28
heuristic_maxsave,0.0478477000142447,7,100.0,0.1,31
spreading_maxsave,0.2047046999796293,10,100.0,0.1,31
heuristic_maxsave,0.0371760999551042,10,100.0,0.1,31
spreading_maxsave,0.0614874999737367,1,100.0,0.1,13
heuristic_maxsave,0.0254712000023573,1,100.0,0.1,12
spreading_maxsave,0.0936295000137761,2,100.0,0.1,17
heuristic_maxsave,0.0315680000348947,2,100.0,0.1,16
spreading_maxsave,0.1537959999986924,3,100.0,0.1,21
heuristic_maxsave,0.0383208999992348,3,100.0,0.1,19
spreading_maxsave,0.140881499974057,5,100.0,0.1,22
heuristic_maxsave,0.0494594000047072,5,100.0,0.1,24
spreading_maxsave,0.1497899999958463,7,100.0,0.1,24
heuristic_maxsave,0.0549229999887757,7,100.0,0.1,28
spreading_maxsave,0.1897194000193849,10,100.0,0.1,27
heuristic_maxsave,0.1168007999658584,10,100.0,0.1,29
spreading_maxsave,0.0947915000142529,1,100.0,0.5,17
heuristic_maxsave,0.0385419999947771,1,100.0,0.5,17
spreading_maxsave,0.0684305999893695,2,100.0,0.5,22
heuristic_maxsave,0.0561150000430643,2,100.0,0.5,23
spreading_maxsave,0.0871860000188462,3,100.0,0.5,23
heuristic_maxsave,0.04609800002072,3,100.0,0.5,24
spreading_maxsave,0.1230454999604262,5,100.0,0.5,25
heuristic_maxsave,0.0679362000082619,5,100.0,0.5,26
spreading_maxsave,0.1341255000443197,7,100.0,0.5,27
heuristic_maxsave,0.1418993999832309,7,100.0,0.5,28
spreading_maxsave,0.1636091000400483,10,100.0,0.5,30
heuristic_maxsave,0.1386838000034913,10,100.0,0.5,31
spreading_maxsave,0.047473800019361,1,100.0,0.5,4
heuristic_maxsave,0.0249955000472255,1,100.0,0.5,5
spreading_maxsave,0.0605437000049278,2,100.0,0.5,5
heuristic_maxsave,0.0397808999987319,2,100.0,0.5,6
spreading_maxsave,0.094061599986162,3,100.0,0.5,6
heuristic_maxsave,0.0453524999902583,3,100.0,0.5,7
spreading_maxsave,0.1553810999612324,5,100.0,0.5,8
heuristic_maxsave,0.087660200020764,5,100.0,0.5,8
spreading_maxsave,0.1218708000378683,7,100.0,0.5,8
heuristic_maxsave,0.0768394999904558,7,100.0,0.5,8
spreading_maxsave,0.1666290999855846,10,100.0,0.5,8
heuristic_maxsave,0.1088300999836064,10,100.0,0.5,8
spreading_maxsave,0.0595833999686874,1,100.0,0.5,14
heuristic_maxsave,0.0353497000178322,1,100.0,0.5,12
spreading_maxsave,0.0718957000062801,2,100.0,0.5,18
heuristic_maxsave,0.0926236999803222,2,100.0,0.5,18
spreading_maxsave,0.1232718999963253,3,100.0,0.5,19
heuristic_maxsave,0.0566532000084407,3,100.0,0.5,19
spreading_maxsave,0.1142411999753676,5,100.0,0.5,21
heuristic_maxsave,0.0706681000301614,5,100.0,0.5,21
spreading_maxsave,0.1371160999988205,7,100.0,0.5,23
heuristic_maxsave,0.0789570999913849,7,100.0,0.5,23
spreading_maxsave,0.1697548999800346,10,100.0,0.5,26
heuristic_maxsave,0.2281501999823376,10,100.0,0.5,26
spreading_maxsave,0.049964000005275,1,100.0,0.5,1
heuristic_maxsave,0.0303960000164806,1,100.0,0.5,1
spreading_maxsave,0.0949655000003986,2,100.0,0.5,2
heuristic_maxsave,0.0580743000027723,2,100.0,0.5,2
spreading_maxsave,0.0774058000533841,3,100.0,0.5,2
heuristic_maxsave,0.0455300000030547,3,100.0,0.5,2
spreading_maxsave,0.0996114999870769,5,100.0,0.5,2
heuristic_maxsave,0.0618575999978929,5,100.0,0.5,2
spreading_maxsave,0.2010184999671764,7,100.0,0.5,2
heuristic_maxsave,0.1332833000342361,7,100.0,0.5,2
spreading_maxsave,0.1469528000452555,10,100.0,0.5,2
heuristic_maxsave,0.1493482000078074,10,100.0,0.5,2
spreading_maxsave,0.0640827000024728,1,100.0,0.5,2
heuristic_maxsave,0.0309061999432742,1,100.0,0.5,2
spreading_maxsave,0.0607292000204324,2,100.0,0.5,3
heuristic_maxsave,0.040855300030671,2,100.0,0.5,3
spreading_maxsave,0.0798761000041849,3,100.0,0.5,4
heuristic_maxsave,0.115307500003837,3,100.0,0.5,4
spreading_maxsave,0.1165616000071168,5,100.0,0.5,5
heuristic_maxsave,0.0754565999959595,5,100.0,0.5,5
spreading_maxsave,0.1302691000164486,7,100.0,0.5,5
heuristic_maxsave,0.0830842000432312,7,100.0,0.5,5
spreading_maxsave,0.174819000007119,10,100.0,0.5,5
heuristic_maxsave,0.1143917000154033,10,100.0,0.5,5
spreading_maxsave,0.0532541999709792,1,100.0,0.5,8
heuristic_maxsave,0.0300373000209219,1,100.0,0.5,7
spreading_maxsave,0.181272700021509,2,100.0,0.5,9
heuristic_maxsave,0.0434397999779321,2,100.0,0.5,9
spreading_maxsave,0.0993064000504091,3,100.0,0.5,10
heuristic_maxsave,0.0755838999757543,3,100.0,0.5,10
spreading_maxsave,0.131768099963665,5,100.0,0.5,12
heuristic_maxsave,0.0653993000159971,5,100.0,0.5,12
spreading_maxsave,0.1764149999944493,7,100.0,0.5,14
heuristic_maxsave,0.0778001000289805,7,100.0,0.5,14
spreading_maxsave,0.2802000999799929,10,100.0,0.5,17
heuristic_maxsave,0.1157376000192016,10,100.0,0.5,17
spreading_maxsave,0.0787331000319682,1,100.0,0.5,7
heuristic_maxsave,0.0325653000036254,1,100.0,0.5,7
spreading_maxsave,0.0797358999843709,2,100.0,0.5,8
heuristic_maxsave,0.0432084000203758,2,100.0,0.5,8
spreading_maxsave,0.0934114000410772,3,100.0,0.5,9
heuristic_maxsave,0.0476936000050045,3,100.0,0.5,9
spreading_maxsave,0.1090088000055402,5,100.0,0.5,11
heuristic_maxsave,0.0694739000173285,5,100.0,0.5,11
spreading_maxsave,0.231234900013078,7,100.0,0.5,13
heuristic_maxsave,0.1233713999972678,7,100.0,0.5,13
spreading_maxsave,0.2182488999678753,10,100.0,0.5,13
heuristic_maxsave,0.1412754000048153,10,100.0,0.5,13
spreading_maxsave,0.0614051999873481,1,100.0,0.5,13
heuristic_maxsave,0.0317409000126645,1,100.0,0.5,12
spreading_maxsave,0.0706172999925911,2,100.0,0.5,16
heuristic_maxsave,0.0500365999760106,2,100.0,0.5,17
spreading_maxsave,0.0893624000018462,3,100.0,0.5,17
heuristic_maxsave,0.0540452999994158,3,100.0,0.5,18
spreading_maxsave,0.1078819999820552,5,100.0,0.5,19
heuristic_maxsave,0.0894793999614194,5,100.0,0.5,20
spreading_maxsave,0.1406924999901093,7,100.0,0.5,21
heuristic_maxsave,0.08168610004941,7,100.0,0.5,22
spreading_maxsave,0.1994573000119999,10,100.0,0.5,24
heuristic_maxsave,0.1097611000295728,10,100.0,0.5,25
spreading_maxsave,0.0690289000049233,1,100.0,0.5,11
heuristic_maxsave,0.0393718999694101,1,100.0,0.5,8
spreading_maxsave,0.1382925999932922,2,100.0,0.5,14
heuristic_maxsave,0.0502667999826371,2,100.0,0.5,15
spreading_maxsave,0.0812993999570608,3,100.0,0.5,15
heuristic_maxsave,0.0575371999875642,3,100.0,0.5,16
spreading_maxsave,0.1005193999735638,5,100.0,0.5,17
heuristic_maxsave,0.0889432999538257,5,100.0,0.5,18
spreading_maxsave,0.1377288000076078,7,100.0,0.5,19
heuristic_maxsave,0.0985215000109747,7,100.0,0.5,20
spreading_maxsave,0.1637671000207774,10,100.0,0.5,22
heuristic_maxsave,0.1098399999900721,10,100.0,0.5,23
spreading_maxsave,0.0767141999676823,1,100.0,0.5,15
heuristic_maxsave,0.0372939000371843,1,100.0,0.5,12
spreading_maxsave,0.08707070001401,2,100.0,0.5,18
heuristic_maxsave,0.0431684000068344,2,100.0,0.5,19
spreading_maxsave,0.0838279000017792,3,100.0,0.5,19
heuristic_maxsave,0.0505153999547474,3,100.0,0.5,20
spreading_maxsave,0.1254987000138498,5,100.0,0.5,21
heuristic_maxsave,0.0724485000246204,5,100.0,0.5,22
spreading_maxsave,0.1322290999814868,7,100.0,0.5,23
